Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bottle Opener","The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398323/bottle-opener,3.0,-1,Boulder,V1+,1,,40.03568,-75.20047
"Basket Case","The Picnic Boulder > Toleration Statue > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120398420/basket-case,3.0,-1,Boulder,V2,1,,40.03568,-75.20047
"Moss Walk","Cresheim Creek Crack > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120644566/moss-walk,2.0,-1,Boulder,V0,1,,40.05351,-75.20689
"Lotus Toes","Cresheim Creek Crack > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120431487/lotus-toes,3.0,-1,Boulder,V1,1,,40.05351,-75.20689
"Strawberry Rock","Strawberry Rock > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107128501/strawberry-rock,1.0,-1,Boulder,V1,1,,39.99356,-75.19238
"Kelly Krack","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108473937/kelly-krack,1.6,-1,Boulder,"V0 PG13",1,15,39.97621,-75.19266
"Kelly Drive Boulder traverses","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107270811/kelly-drive-boulder-traverses,1.8,-1,Boulder,V0-1,1,20,39.97621,-75.19266
"Thin Fin","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108473948/thin-fin,2.3,-1,Boulder,V2,1,10,39.97621,-75.19266
"Orion's Belt","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/111876264/orions-belt,3.0,-1,Boulder,"V2 PG13",1,15,39.97621,-75.19266
"Orion's Dagger","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119743045/orions-dagger,2.0,-1,Boulder,V2+,1,12,39.97621,-75.19266
"Heel yourself Marieke","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117837792/heel-yourself-marieke,3.0,-1,Boulder,V3,1,30,39.97621,-75.19266
"Low pockets to dyno direct","Kelly Drive Boulder > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119009248/low-pockets-to-dyno-direct,3.3,-1,Boulder,"V4-5 R",1,17,39.97621,-75.19266
"Garfield Minus Garfield","Stone Age in America > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119461144/garfield-minus-garfield,1.0,-1,Boulder,V0-,1,,39.9723,-75.18964
"Dark Horse Arête","Stone Age in America > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119461038/dark-horse-arete,2.0,-1,Boulder,V0,1,,39.9723,-75.18964
"Charles Gitout","Stone Age in America > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119460986/charles-gitout,2.0,-1,Boulder,V0+,1,,39.9723,-75.18964
"Stone Age in America","Stone Age in America > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107125177/stone-age-in-america,1.0,-1,Boulder,"V1- PG13",1,18,39.9723,-75.18964
"Angus Scrimm","Phantom Wall > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119165559/angus-scrimm,1.0,-1,Boulder,V1,1,,40.07774,-75.04473
"Lazy Murder","Owen's Boulder > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120216343/lazy-murder,0.5,-1,Boulder,V0-,1,,40.07464,-75.06203
"Positive Slinking","Owen's Boulder > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120216358/positive-slinking,1.0,-1,Boulder,V0,1,,40.07464,-75.06203
"Green Moss Escape Plan","Owen's Boulder > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116837856/green-moss-escape-plan,1.0,-1,Boulder,V0,1,,40.07464,-75.06203
"Don't Be A Flake","Owen's Boulder > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117350045/dont-be-a-flake,1.3,-1,Boulder,V0-1,1,15,40.07464,-75.06203
"Happy Buddha","Owen's Boulder > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120216296/happy-buddha,1.3,-1,Boulder,V1,1,,40.07464,-75.06203
"Easy Shoobie","The Cove > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117099155/easy-shoobie,1.0,-1,Boulder,V0,1,,40.07769,-75.05608
"Hazy Summer","The Cove > Pennypack Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117099176/hazy-summer,2.0,-1,Boulder,V0,1,,40.07769,-75.05608
